transaction_id,customer_id,first_name,last_name,email,state,product_type,size,quantity,unit_price,discount_amount,total_amount,collection_type,sale_date
1800824,7844947,Brianna,Cook,bcook315@yahoo.com,Utah,AmeriGas,100lb,3,149.0,0.0,447.0,Pickup,2024-07-04
8921679,9712003,Ahmed,Harris,ahmedharris956@comcast.net,Utah,Blue Rhino,33lb,2,49.95,5.0,94.9,Pickup,2024-11-18
2697690,1485654,Patricia,Long,patricia_long@gmail.com.com,Tennessee,AmeriGas,20lb,4,24.99,0.0,99.96,Pickup,2024-07-18
7196363,5896624,Felix,Cox,fcox1042@comcast.net,Nevada,AmeriGas,420lb,4,849.0,339.6,3056.4,Delivery,2024-06-07
7103303,6170227,David,Patterson,david.patterson@hotmail.com,Louisiana,AmeriGas,100lb,3,149.0,0.0,447.0,Delivery,2024-06-24
1707302,8944327,Fatima,Cook,fcook@hotmail.com,Kansas,Blue Rhino,1lb,5,4.49,0.0,22.45,Delivery,2024-03-21
9788815,2525206,Jennifer,Young,jyoung@outlook.com,Tennessee,AmeriGas,33lb,5,49.95,0.0,249.75,Delivery,2024-01-18
3120605,6510922,Carlos,Webb,webb.c@yahoo.com,Texas,AmeriGas,100lb,1,149.0,0.0,149.0,Pickup,2024-12-15
4536127,2038068,Zoe,Perez,zoeperez1108@aol.com,Illinois,AmeriGas,33lb,2,49.95,7.99,91.91,Delivery,2024-04-25
1467937,7844947,Brianna,Cook,bcook315@@yahoo.com,Utah,NGL Energy,420lb,3,849.0,254.7,2292.3,Delivery,2024-05-10
1161102,7145971,Kenji,Henderson,kenji.henderson@live.com,Massachusetts,NGL Energy,100lb,1,149.0,0.0,149.0,Delivery,2024-03-21
4039834,9225346,Chloe,White,chloe19@yahoo.com,Florida,Blue Rhino,420lb,2,849.0,135.84,1562.16,Delivery,2024-02-09
4934345,2642635,Jennifer,Burns,jenniferburns1972@gmail.com,Oklahoma,AmeriGas,1lb,1,4.49,0.0,4.49,Delivery,2024-01-22
4282937,2696860,Tamara,Burns,tamara.burns@att.net,Iowa,Ferrellgas,100lb,2,149.0,0.0,298.0,Pickup,2024-10-11
6098837,8519121,William,Lewis,william.l89@hotmail.com,Georgia,Suburban Propane,420lb,4,849.0,169.8,3226.2,Pickup,2024-10-31
8896486,9911492,Anita,Williamson,awilliamson@outlook.com,Virginia,NGL Energy,1lb,2,4.49,0.0,8.98,Delivery,2024-06-16
9296512,5435261,Chantel,Collins,chantel_collins@icloud.com,Georgia,NGL Energy,100lb,3,149.0,0.0,447.0,Pickup,2024-02-18
5474022,7082139,Lucia,Watson,watson.l@yahoo.com,Maryland,AmeriGas,100lb,1,149.0,0.0,149.0,Delivery,2024-10-20
9268480,9284509,Benjamin,Lee,benjamin.lee@live.com,Wisconsin,Ferrellgas,100lb,2,149.0,44.7,253.3,Delivery,2024-02-02
1155332,9612629,Isabella,Griffin,isabella.g58@yahoo.com,Iowa,Ferrellgas,1lb,4,4.49,0.0,17.96,Delivery,2024-04-12
9038102,5147994,Patrick,Olson,patrick.o57@sbcglobal.net,Florida,Suburban Propane,1lb,2,4.49,0.0,8.98,Delivery,2024-02-29
4378948,7667458,Eduardo,Gutierrez,gutierrez.e@yahoo.com,Minnesota,Ferrellgas,100lb,1,149.0,0.0,149.0,Delivery,2024-11-05
